timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph
1768227014223789,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375032,160821331,364040,9519842,0,0,0,0,300,5,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014233817,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375155,160821447,364045,9519847,0,0,0,0,305,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014243817,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375278,160821447,364050,9519852,0,0,4294967180,0,311,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014253869,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375278,160821563,364050,9519852,0,0,0,0,316,6,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014263868,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375278,160821563,364050,9519852,0,0,0,0,320,10,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014273855,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375401,160821679,364055,9519857,0,0,0,0,325,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014283839,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375401,160821679,364055,9519857,0,0,0,0,329,17,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014293891,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375524,160821795,364060,9519862,0,0,0,0,334,12,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014303923,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375524,160821795,364060,9519862,0,0,0,0,338,19,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014313962,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375647,160821911,364065,9519867,0,0,0,0,343,7,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014323873,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375647,160821911,364065,9519867,0,0,0,0,348,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014334072,20106,0,51.0,53.0,0.0,0.1,9,0,9,0,0,0,27375770,160822027,364070,9519872,0,0,0,0,353,4,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014343929,20106,0,51.0,53.0,0.0,0.1,9,0,9,0,0,0,27375770,160822027,364070,9519872,0,0,0,0,358,5,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014353819,20106,0,51.0,53.0,0.0,0.09,9,0,9,0,0,0,27375893,160822143,364075,9519877,0,0,0,0,363,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014364004,20106,0,51.0,53.0,0.0,0.09,9,0,9,0,0,0,27375893,160822143,364075,9519877,0,0,0,0,368,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014374001,20106,0,51.0,53.0,0.0,0.081,9,0,9,0,0,0,27376016,160822143,364080,9519882,0,0,4294967180,0,372,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014383868,20106,0,51.0,53.0,0.0,0.081,9,0,9,0,0,0,27376016,160822259,364080,9519882,0,0,0,0,377,11,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014393873,20106,0,51.0,53.0,0.0,0.0729,9,0,9,0,0,0,27376139,160822259,364085,9519887,0,0,4294967180,0,382,7,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014403813,20106,0,51.0,53.0,0.0,0.0729,9,0,9,0,0,0,27376139,160822375,364085,9519887,0,0,0,0,387,10,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014413911,20106,0,51.0,53.0,0.0,0.0656,9,0,9,0,0,0,27376262,160822375,364090,9519892,0,0,4294967180,0,392,9,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014423901,20106,0,51.0,53.0,0.0,0.0656,9,0,9,0,0,0,27376262,160822491,364090,9519892,0,0,0,0,396,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014433966,20106,0,51.0,53.0,0.0,0.0656,9,0,9,0,0,0,27376262,160822491,364090,9519892,0,0,0,0,399,15,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014443852,20106,0,51.0,53.0,0.0,0.059,9,0,9,0,0,0,27376385,160822607,364095,9519897,0,0,0,0,403,5,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014453907,20106,0,51.0,53.0,0.0,0.059,9,0,9,0,0,0,27376385,160822607,364095,9519897,0,0,0,0,407,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014463876,20106,0,51.0,53.0,0.0,0.059,9,0,9,0,0,0,27376508,160822607,364100,9519897,0,0,0,0,411,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014474254,20106,0,51.0,53.0,0.0,0.0531,9,0,9,0,0,0,27376508,160822723,364100,9519902,0,0,0,0,415,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014484002,20106,0,51.0,53.0,0.0,0.0531,9,0,9,0,0,0,27376508,160822723,364100,9519902,0,0,0,0,418,16,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014493921,20106,0,51.0,53.0,0.0,0.0478,9,0,9,0,0,0,27376631,160822723,364105,9519907,0,0,4294967180,0,422,15,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014503875,20106,0,51.0,53.0,0.0,0.0478,9,0,9,0,0,0,27376631,160822839,364105,9519907,0,0,0,0,427,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014513863,20106,0,51.0,53.0,0.0,0.0478,9,0,9,0,0,0,27376754,160822839,364110,9519907,0,0,0,0,431,9,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014523863,20106,0,51.0,53.0,0.0,0.043,9,0,9,0,0,0,27376754,160822955,364110,9519912,0,0,0,0,435,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014533828,20106,0,51.0,53.0,0.0,0.043,9,0,9,0,0,0,27376754,160822955,364110,9519912,0,0,0,0,440,6,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014543825,20106,0,51.0,53.0,0.0,0.0387,9,0,9,0,0,0,27376877,160823071,364115,9519917,0,0,0,0,445,9,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014553881,20106,0,51.0,53.0,0.0,0.0387,9,0,9,0,0,0,27376877,160823071,364115,9519917,0,0,0,0,450,11,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014563818,20106,0,51.0,53.0,0.0,0.0349,9,0,9,0,0,0,27377000,160823187,364120,9519922,0,0,0,0,455,14,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014573797,20106,0,51.0,53.0,0.0,0.0349,9,0,9,0,0,0,27377123,160823187,364125,9519922,0,0,0,0,461,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014583794,20106,0,51.0,53.0,0.0,0.0314,9,0,9,0,0,0,27377123,160823303,364125,9519927,0,0,0,0,466,10,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014593789,20106,0,51.0,53.0,0.0,0.0314,9,0,9,0,0,0,27377246,160823303,364130,9519927,0,0,0,0,471,15,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014603788,20106,0,51.0,53.0,0.0,0.0282,9,0,9,0,0,0,27377246,160823419,364130,9519932,0,0,0,0,477,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014613811,20106,0,51.0,53.0,0.0,0.0254,9,0,9,0,0,0,27377369,160823419,364135,9519937,0,0,4294967180,0,482,5,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014623812,20106,0,51.0,53.0,0.0,0.0254,9,0,9,0,0,0,27377369,160823535,364135,9519937,0,0,0,0,487,12,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014633836,20106,0,51.0,53.0,0.0,0.0229,9,0,9,0,0,0,27377492,160823535,364140,9519942,0,0,4294967180,0,492,14,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,20,20,-44,0
1768227014643816,20106,0,51.0,53.0,0.0,0.0229,9,0,9,0,0,0,27377492,160823651,364140,9519942,0,0,0,0,497,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014653990,20106,0,51.0,53.0,0.0,0.0206,9,0,9,0,0,0,27377615,160823651,364145,9519947,0,0,4294967180,0,502,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014663848,20106,0,51.0,53.0,0.0,0.0206,9,0,9,0,0,0,27377615,160823767,364145,9519947,0,0,0,0,507,13,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014673875,20106,0,51.0,53.0,0.0,0.0185,9,0,9,0,0,0,27377738,160823767,364150,9519952,0,0,4294967180,0,512,11,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014683826,20106,0,51.0,53.0,0.0,0.0185,9,0,9,0,0,0,27377738,160823883,364150,9519952,0,0,0,0,517,12,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014693814,20106,0,51.0,53.0,0.0,0.0167,9,0,9,0,0,0,27377861,160823999,364155,9519957,0,0,0,0,522,17,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014703847,20106,0,51.0,53.0,0.0,0.0167,9,0,9,0,0,0,27377861,160823999,364155,9519957,0,0,0,0,528,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014713906,20106,0,51.0,53.0,0.0,0.015,9,0,9,0,0,0,27377984,160824115,364160,9519962,0,0,0,0,533,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014723817,20106,0,51.0,53.0,0.0,0.015,9,0,9,0,0,0,27377984,160824115,364160,9519962,0,0,0,0,538,4,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014733797,20106,0,51.0,53.0,0.0,0.0135,9,0,9,0,0,0,27378107,160824231,364165,9519967,0,0,0,0,543,10,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,30,30,-44,0
1768227014743842,20106,0,51.0,53.0,0.0,0.0135,9,0,9,0,0,0,27378107,160824231,364165,9519967,0,0,0,0,548,12,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014753799,20106,0,51.0,53.0,0.0,0.0122,9,0,9,0,0,0,27378230,160824347,364170,9519972,0,0,0,0,553,15,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014763788,20106,0,51.0,53.0,0.0,0.0122,9,0,9,0,0,0,27378230,160824347,364170,9519972,0,0,0,0,559,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014773814,20106,0,51.0,53.0,0.0,0.0109,9,0,9,0,0,0,27378353,160824463,364175,9519977,0,0,0,0,564,5,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014783761,20106,0,51.0,53.0,0.0,0.0109,9,0,9,0,0,0,27378353,160824463,364175,9519977,0,0,0,0,569,14,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014793770,20106,0,51.0,53.0,0.0,0.0098,9,0,9,0,0,0,27378476,160824579,364180,9519982,0,0,0,0,575,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014803813,20106,0,51.0,53.0,0.0,0.0098,9,0,9,0,0,0,27378476,160824579,364180,9519982,0,0,0,0,580,4,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014813796,20106,0,51.0,53.0,0.0,0.0089,9,0,9,0,0,0,27378599,160824695,364185,9519987,0,0,0,0,585,12,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014823821,20106,0,51.0,53.0,0.0,0.0089,9,0,9,0,0,0,27378599,160824695,364185,9519987,0,0,0,0,590,16,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014833921,20106,0,51.0,53.0,0.0,0.008,9,0,9,0,0,0,27380040,160849341,364244,9521907,0,0,20754,0,595,6,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014844057,20106,0,51.0,53.0,0.0,0.008,9,0,9,0,123,0,27382338,160884156,364357,9524109,5,0,29558,0,598,15,63483,3491063,203594,156736032,58,0,0,59996,3300627,104329,155930384,78.88,2154.56,0.0,7,204,90,2246,-44,0
