timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph,log_pcmax,est_rsrq,est_sinr_dl
1768227244229051,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027343,166214149,432618,9817623,0,0,0,0,584,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244239088,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027343,166214265,432618,9817628,0,0,0,0,591,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244249303,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027466,166214381,432623,9817633,0,0,0,0,598,1,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244259187,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027589,166214381,432628,9817633,0,0,0,0,605,3,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244269076,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027589,166214497,432628,9817638,0,0,0,0,612,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,25,25,-44,0,0,-34.0,25.0
1768227244279060,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027712,166214613,432633,9817643,0,0,0,0,619,6,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244289188,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027835,166214613,432638,9817648,0,0,4294967180,0,626,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244299090,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027835,166214729,432638,9817648,0,0,0,0,633,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244309079,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29027958,166214845,432643,9817653,0,0,0,0,639,14,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244319126,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028081,166214845,432648,9817658,0,0,4294967180,0,646,14,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244329129,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028204,166214961,432653,9817658,0,0,0,0,653,13,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244339265,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028204,166215077,432653,9817663,0,0,0,0,660,12,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244349150,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028327,166215193,432658,9817668,0,0,0,0,667,11,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244359102,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028450,166215193,432663,9817668,0,0,0,0,674,7,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244369134,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028450,166215309,432663,9817673,0,0,0,0,681,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,30,-44,0,0,-34.0,25.0
1768227244379390,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028573,166215425,432668,9817678,0,0,0,0,687,10,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244389062,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028696,166215425,432673,9817678,0,0,0,0,694,7,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244399133,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028696,166215541,432673,9817683,0,0,0,0,701,2,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244409140,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028819,166215657,432678,9817688,0,0,0,0,707,15,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244419090,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028942,166215657,432683,9817688,0,0,0,0,714,12,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244429257,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29028942,166215773,432683,9817693,0,0,0,0,721,0,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244439143,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029065,166215889,432688,9817698,0,0,0,0,727,14,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244449104,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029188,166215889,432693,9817698,0,0,0,0,734,10,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
1768227244459125,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,29029188,166216005,432693,9817703,0,0,0,0,741,4,65236,3587345,208811,160658048,0,0,0,61644,3391583,106958,159830936,0.0,0.0,0.0,0,0,30,35,-44,0,0,-34.0,25.0
